"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: algo","Param: length"
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,52.972258,0.319231,"ns/op",adler32,32
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,84.136285,3.081467,"ns/op",adler32,128
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,204.818346,0.961787,"ns/op",adler32,512
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,699.732827,1.489943,"ns/op",adler32,2048
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,2773.183510,65.116878,"ns/op",adler32,8192
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,5507.177667,132.462562,"ns/op",adler32,16384
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,11013.832983,40.574946,"ns/op",adler32,32768
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,46.190738,20.712992,"ns/op",crc32,32
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,73.335654,3.007507,"ns/op",crc32,128
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,88.953299,23.319905,"ns/op",crc32,512
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,203.589956,7.942477,"ns/op",crc32,2048
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,623.979681,23.795526,"ns/op",crc32,8192
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,1203.595913,22.565613,"ns/op",crc32,16384
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,2383.600924,72.269311,"ns/op",crc32,32768
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,66.438986,3.623824,"ns/op",good_fast_hash_32,32
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,171.039179,10.796184,"ns/op",good_fast_hash_32,128
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,560.544789,43.756788,"ns/op",good_fast_hash_32,512
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,1853.979259,46.640985,"ns/op",good_fast_hash_32,2048
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,7253.064536,16.711171,"ns/op",good_fast_hash_32,8192
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,14679.814033,50.419748,"ns/op",good_fast_hash_32,16384
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,31700.182429,1439.545455,"ns/op",good_fast_hash_32,32768
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,105.577787,47.055518,"ns/op",good_fast_hash_64,32
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,215.264698,14.474467,"ns/op",good_fast_hash_64,128
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,407.801748,64.591304,"ns/op",good_fast_hash_64,512
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,1400.612930,22.780410,"ns/op",good_fast_hash_64,2048
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,5509.798606,340.110056,"ns/op",good_fast_hash_64,8192
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,11024.029028,269.138254,"ns/op",good_fast_hash_64,16384
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,21662.437271,82.698919,"ns/op",good_fast_hash_64,32768
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,261.766011,17.420308,"ns/op",md5,32
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,569.156268,31.888691,"ns/op",md5,128
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,1481.040020,5.450446,"ns/op",md5,512
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,5200.666296,16.512837,"ns/op",md5,2048
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,20240.709362,663.604035,"ns/op",md5,8192
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,40042.100214,1037.066340,"ns/op",md5,16384
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,79906.607883,1688.692054,"ns/op",md5,32768
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,68.665947,7.128182,"ns/op",murmur3_32_guava,32
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,172.594439,5.402120,"ns/op",murmur3_32_guava,128
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,575.445772,14.262280,"ns/op",murmur3_32_guava,512
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,1916.933149,123.463642,"ns/op",murmur3_32_guava,2048
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,7261.502793,29.743808,"ns/op",murmur3_32_guava,8192
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,16024.064941,2179.415847,"ns/op",murmur3_32_guava,16384
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,31445.095505,993.991443,"ns/op",murmur3_32_guava,32768
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,118.438105,65.448403,"ns/op",murmur3_128_guava,32
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,215.600795,14.073144,"ns/op",murmur3_128_guava,128
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,443.811885,31.172746,"ns/op",murmur3_128_guava,512
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,1436.789198,54.145809,"ns/op",murmur3_128_guava,2048
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,5456.182747,263.709668,"ns/op",murmur3_128_guava,8192
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,10977.501721,191.819190,"ns/op",murmur3_128_guava,16384
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,21674.009677,71.476585,"ns/op",murmur3_128_guava,32768
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,1664.636197,1511.627094,"ns/op",sha1,32
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,808.801129,17.867938,"ns/op",sha1,128
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,2204.124099,11.905412,"ns/op",sha1,512
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,7752.031576,18.596091,"ns/op",sha1,2048
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,30205.392789,493.560909,"ns/op",sha1,8192
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,59542.964676,111.314974,"ns/op",sha1,16384
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,118830.608657,276.211929,"ns/op",sha1,32768
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,989.979587,1268.839934,"ns/op",sha256,32
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,1137.853166,55.723810,"ns/op",sha256,128
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,3135.051314,15.536942,"ns/op",sha256,512
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,11173.375426,54.186075,"ns/op",sha256,2048
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,43572.173356,773.005154,"ns/op",sha256,8192
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,86505.553775,2233.872086,"ns/op",sha256,16384
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,171763.666392,441.682098,"ns/op",sha256,32768
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,1621.222754,2211.829983,"ns/op",sha384,32
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,1311.815065,41.624817,"ns/op",sha384,128
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,3017.006757,81.825372,"ns/op",sha384,512
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,9799.212652,344.308675,"ns/op",sha384,2048
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,37081.197931,1294.298984,"ns/op",sha384,8192
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,72662.814343,1103.641820,"ns/op",sha384,16384
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,144240.651856,902.723969,"ns/op",sha384,32768
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,823.637726,46.195289,"ns/op",sha512,32
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,1349.112437,86.387104,"ns/op",sha512,128
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,3011.291838,72.811516,"ns/op",sha512,512
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,9912.952847,478.073668,"ns/op",sha512,2048
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,36939.807611,1183.620599,"ns/op",sha512,8192
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,72564.825590,243.320625,"ns/op",sha512,16384
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,144155.664718,291.292117,"ns/op",sha512,32768
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,118.345497,15.858449,"ns/op",sip_hash_guava,32
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,249.348370,25.897706,"ns/op",sip_hash_guava,128
"au.com.acegi.hashbench.HashBench.withArray","avgt",1,10,725.324480,24.749983,"ns/op",sip_hash_guava,512
